File,Purity,Coverage
aepyx.rttm,0.9756558095623441,0.8967563557893317
aggyz.rttm,0.8982609392530854,0.9868167975637121
aiqwk.rttm,0.9597164397434457,0.7702261730617754
aorju.rttm,0.8001343697220231,0.9801151473867886
auzru.rttm,0.970987144710461,0.989562448401934
bgvvt.rttm,0.9967341411687392,0.9967341411687392
bidnq.rttm,0.840146538210895,0.8508374870105853
bjruf.rttm,0.8693094835226819,0.8693094835226819
bmsyn.rttm,0.8418107241900407,0.8608910808880925
bpzsc.rttm,0.9483710816479695,0.9567225354551929
bvqnu.rttm,0.8571325518485127,0.9527862939585217
bvyvm.rttm,1.0,1.0
bxcfq.rttm,0.9731353659747741,0.9731353659747739
byapz.rttm,0.8034658560520835,0.9848967184470667
cadba.rttm,0.9336129753914991,0.9336129753914991
cawnd.rttm,0.9190861577723788,0.7057805590029544
clfcg.rttm,0.9143482224247951,0.9076390154968097
cpebh.rttm,1.0,1.0
cqfmj.rttm,0.9318851251840943,0.9940169366715758
crorm.rttm,0.9882782034224893,1.0
crylr.rttm,0.9685615295778266,0.7826895932246893
cvofp.rttm,0.691606771498413,0.9925845525192452
cwbvu.rttm,0.7489766183306735,0.9127870672309721
dgvwu.rttm,0.6163113157657134,0.9231255401204707
diysk.rttm,0.8380915410946825,0.8616296714542832
dkabn.rttm,0.8608929195562998,0.9612405952797045
dlast.rttm,0.8849026678835032,0.9714338877025728
dohag.rttm,1.0,1.0
duvox.rttm,0.9769146813366114,0.982967135943202
dxbbt.rttm,0.9817100844149947,0.8596865450364586
dxokr.rttm,0.9622620126926565,0.9943336355394379
dzsef.rttm,1.0,1.0
dzxut.rttm,0.8788854489164086,0.9679256965944272
eauve.rttm,0.8689243629371242,0.8849989273029216
eazeq.rttm,0.928144309348216,0.8693442296192941
eddje.rttm,0.8532349996935585,0.8532349996935586
eguui.rttm,0.7730496453900711,0.773049645390071
eoyaz.rttm,0.934721893491124,0.8778698224852071
epygx.rttm,0.9748208723492485,0.9528915976354183
eqsta.rttm,0.7732837228802014,0.8346923802536421
erslt.rttm,0.8267227037912618,0.9115664127484456
eucfa.rttm,0.875094912680334,0.9448240951657808
euqef.rttm,1.0,1.0
ezxso.rttm,0.7617367706919946,0.9561542934677263
fijfi.rttm,0.95959107132055,0.9698021898251775
fowhl.rttm,0.9519688867282446,0.9552746718522115
fpfvy.rttm,0.8964801522096341,0.9559802819337541
fqrnu.rttm,0.9127771295215868,0.9721703617269545
fuzfh.rttm,0.9097331240188382,0.9854788069073784
fvhrk.rttm,0.9384937907509727,0.9785652104393554
fxnwf.rttm,0.8943319717343984,0.9188705685917882
fyqoe.rttm,0.7667647470926154,0.7667647470926153
fzwtp.rttm,0.8365810034830086,0.9610750258872258
gcfwp.rttm,0.9614590234207551,1.0
gcvrb.rttm,0.9731133901799945,0.9731133901799943
gfneh.rttm,0.9452632905013854,0.9452632905013858
gkiki.rttm,0.9615314160102584,0.9615314160102584
gmmwm.rttm,0.986212372771241,0.986212372771241
gtjow.rttm,0.9922568691882825,0.9910158707963367
gtnjb.rttm,0.8726223391851822,0.9738165828308736
gukoa.rttm,0.925411030176899,0.7262018730489074
guvqf.rttm,0.8261394506489591,0.8923397007459795
gwloo.rttm,1.0,0.9780838338957873
gylzn.rttm,0.9974908759124088,0.9974908759124088
gyomp.rttm,1.0,1.0
gzhwb.rttm,0.9462179042331712,0.8684131390238258
hcyak.rttm,0.9324051052544338,0.9857450687883308
heolf.rttm,0.7196796338672772,0.9946935980828484
hhepf.rttm,0.8035155828750132,0.9821345123836226
hqhrb.rttm,0.8390516505142773,0.968038691470796
iabca.rttm,0.9072614862407563,0.9072614862407563
iacod.rttm,0.978905353489996,0.978905353489996
ibrnm.rttm,0.7970257630089332,0.9915405045293174
ifwki.rttm,0.9562711137326405,0.9562711137326404
iiprr.rttm,0.7966688775886208,0.9988024172746702
ikhje.rttm,0.890890245306922,0.9334101117125422
iowob.rttm,0.8198258183077209,0.9752843103310517
isrps.rttm,0.8831728045325782,0.9136543909348445
isxwc.rttm,0.9744950495049505,0.7958019801980201
jbowg.rttm,0.7831533477321817,0.9943491867589368
jdrwl.rttm,0.8974856674856669,0.9658886158886153
jeymh.rttm,0.2649948868436262,1.0
jgiyq.rttm,0.899342147873315,1.0
jjkrt.rttm,0.8582720662086697,0.9304869229842113
jjvkx.rttm,1.0,1.0
jrfaz.rttm,0.7888329803665544,0.9142848043820957
jsbdo.rttm,0.9010245972332422,0.9069582916479798
jsymf.rttm,0.9370560862111194,0.9500367376928729
jttar.rttm,0.9651325191633103,0.9983759906457061
jwggf.rttm,0.9779292228845394,0.9871965612571989
jxpom.rttm,0.8529085303186029,0.5062076053442964
jxydp.rttm,1.0,1.0
jzkzt.rttm,0.796105766757549,0.9091945744808543
kajfh.rttm,0.38700735360172484,1.0
kgjaa.rttm,0.8051498537684805,0.9843304206280353
kmjvh.rttm,0.9644330319337835,0.9980331630562461
kmunk.rttm,0.9748881920526398,0.9748881920526399
kpjud.rttm,0.8776718856364873,0.7097345132743362
ktvto.rttm,0.9023048847557624,0.9227913604319786
kvkje.rttm,0.9849896359782937,0.9971120478841092
kzmyi.rttm,0.9933976876261401,0.9933976876261401
laoyl.rttm,0.9540579857234682,0.9540579857234682
lbfnx.rttm,0.4329273182510759,0.9887194931791246
ledhe.rttm,0.9706939452585017,0.9706939452585016
leneg.rttm,0.9781453720456048,0.9781453720456048
lhuly.rttm,0.8482863440821989,0.9895562982187935
lilfy.rttm,1.0,0.7613413367193814
ljpes.rttm,0.9905855463648235,0.9905855463648235
lkikz.rttm,0.9865806088036135,0.9834106738753332
lpola.rttm,0.929718132721757,0.8722596236837553
lscfc.rttm,0.907418389974731,0.9261641998865459
ltgmz.rttm,0.9643358278765203,0.8879794200187092
lubpm.rttm,1.0,1.0
luobn.rttm,0.9633445136559655,0.9633445136559655
mbzht.rttm,0.940264972495545,0.9156271790501277
mclsr.rttm,0.8787010159651669,0.8966981132075471
mhwyr.rttm,0.9054758559491237,0.908655623752126
mjmgr.rttm,0.9545015240502565,0.9117909449111589
mkhie.rttm,0.8456764546099095,0.9812159885086047
mqtep.rttm,0.9918949343339586,0.9918949343339584
msbyq.rttm,0.9724966622162884,0.9973297730307078
mupzb.rttm,0.9678441558441558,0.9678441558441557
mxdpo.rttm,0.981030635017245,1.0
mxduo.rttm,0.945469188913116,0.976997269530713
myjoe.rttm,0.916157900724281,0.916157900724281
neiye.rttm,1.0,1.0
nitgx.rttm,0.5222190821193985,0.9367126548998449
nkqzr.rttm,0.8119360515182148,0.8256205773334834
nlvdr.rttm,0.9108456677919156,0.9793415851582561
nprxc.rttm,0.8735925333043926,0.8676777816968282
nqcpi.rttm,0.9850793650793648,0.8451851851851853
nqyqm.rttm,0.9406341353721609,0.992272625058773
ocfop.rttm,0.8611998292686522,0.861199829268652
ofbxh.rttm,0.4659970685508119,1.0
olzkb.rttm,0.9559670585995145,0.9559670585995145
ooxlj.rttm,1.0,1.0
optsn.rttm,0.8819414562024873,0.935796012489932
oqwpd.rttm,0.9750517117649541,0.9750517117649542
otmpf.rttm,0.9780677334237091,1.0
oubab.rttm,0.9061273008897375,0.9061273008897375
ouvtt.rttm,0.8679761803968052,0.8679761803968052
pccww.rttm,0.9941728469804754,0.8279854699561071
pgtkk.rttm,0.9571273024226479,0.9781780237727975
pkwrt.rttm,0.9155865736124958,0.7341863298991913
poucc.rttm,0.8480814242896022,0.8557493724779967
ppexo.rttm,1.0,1.0
ptses.rttm,0.7429439789715797,0.838935436175456
pwnsw.rttm,0.8726450491725585,0.9274556657055967
pxqme.rttm,1.0,0.8604413072177169
pzxit.rttm,0.9618848132999078,0.9618848132999074
qadia.rttm,0.9490379814893045,0.975882330350628
qajyo.rttm,0.7996161743311425,0.9032697407113159
qeejz.rttm,0.7271033609061782,0.9668380654296144
qlrry.rttm,0.8595702309446566,1.0
qoarn.rttm,0.7874365183307732,0.9988599210424653
qwepo.rttm,0.8532940684879718,0.853294068487972
qxana.rttm,0.7359418010224142,0.9847620920173022
ralnu.rttm,0.7084646818447168,0.9228838295388205
rarij.rttm,0.769245135356266,0.954670769449681
rmvsh.rttm,1.0,1.0
rpkso.rttm,0.9333274591006548,0.9333274591006547
rsypp.rttm,0.7946508556599159,0.9894808781019405
rxulz.rttm,0.8399301989511662,0.9955738137002734
ryken.rttm,0.6718276245721616,0.9854598574862201
sbrmv.rttm,0.7361099109997405,0.7361099109997405
sebyw.rttm,0.5741621473662603,0.9897438968059811
sexgc.rttm,0.9022125689190156,0.9041697496240779
sfdvy.rttm,1.0,1.0
svxzm.rttm,1.0,1.0
swbnm.rttm,0.8273936365640385,0.9980527592034684
sxqvt.rttm,0.9780719170527244,0.9780719170527244
tbjqx.rttm,0.8563121615564475,0.8668394974983955
thnuq.rttm,0.9659179014472778,0.981629048931771
tiido.rttm,0.8839003414695843,0.8839003414695843
tkhgs.rttm,0.9824001277088239,0.982400127708824
tkybe.rttm,0.8298353473252773,0.9971115115539538
tnjoh.rttm,0.9604273842500991,0.9722991689750693
tpnyf.rttm,0.8155603100426025,0.9979543193889234
tpslg.rttm,0.9702615298087738,0.9702615298087738
tvtoe.rttm,0.9948518476146894,0.9968396064523509
uedkc.rttm,0.7784121926990577,0.99259882404532
uevxo.rttm,0.9611189927292074,0.9812023408405746
uhfrw.rttm,0.9190952588081778,0.9286293688207564
uicid.rttm,1.0,1.0
upshw.rttm,0.9953233377706158,0.9953233377706161
uqxlg.rttm,0.7657318863937537,0.9712402850900754
usqam.rttm,0.8438353825136615,0.9208333333333337
utial.rttm,0.8344014163528911,0.9302296586290298
vdlvr.rttm,0.9829069974479195,0.9829069974479195
vgaez.rttm,0.9425673210245935,0.9425673210245933
vgevv.rttm,0.8896163845704887,0.8139226402079905
vncid.rttm,0.723560399636694,0.9477838328792005
vtzqw.rttm,0.9466794380587484,0.8955739144316732
vuewy.rttm,0.9296741822392328,0.9296741822392333
vylyk.rttm,0.9740994667537272,0.5640439656110563
vzuru.rttm,0.699496372172429,0.989603072983355
wcxfk.rttm,0.6938849573580113,0.6938849573580111
wdvva.rttm,0.8125329815303429,0.8125329815303429
wemos.rttm,0.9203169213355977,0.9438493594690541
wibky.rttm,1.0,0.770252213128445
wlfsf.rttm,0.9436673499738731,0.966116001447003
wprog.rttm,0.9987791595351231,0.8723623262995368
wwvcs.rttm,0.9794029820323885,0.9794029820323886
wwzsk.rttm,0.9743768493129465,0.9743768493129465
xffsa.rttm,0.9464090734711141,0.9594428432308008
xggbk.rttm,0.8175943371308836,0.9831487383564298
xkgos.rttm,0.9685763575454859,0.9698401235682336
xkmqx.rttm,0.8519883608147429,1.0
xlsme.rttm,0.964798973052661,0.9832118179174232
xlyov.rttm,1.0,1.0
xmyyy.rttm,0.9858126778570546,0.8714480141873222
xqxkt.rttm,0.8733955293970324,0.9952234854244748
xtdcl.rttm,1.0,1.0
xtzoq.rttm,0.7872565976678011,0.8836690286224406
xvxwv.rttm,0.983761840324763,0.9849687305708956
ybhwz.rttm,0.9635309745199857,0.9851265950167051
ygrip.rttm,0.9038732891209258,0.9556229716382106
ylgug.rttm,0.9919238588061356,1.0
ylzez.rttm,0.9982729158480532,0.9982729158480532
ytmef.rttm,0.9775643012085528,1.0
ytula.rttm,0.9892335711338961,0.9982693217149814
yukhy.rttm,0.919082347943071,0.932875451391347
yzvon.rttm,0.9765375999999998,0.9813631999999999
zedtj.rttm,0.8539006565323576,0.9890423170856281
zehzu.rttm,0.9556273693368962,0.9881921571064571
zfzlc.rttm,0.971399733674863,0.971399733674863
zowse.rttm,0.9821504298546587,0.9894945834457763
zqidv.rttm,0.962875459393738,0.962875459393738
zsgto.rttm,0.8953122411793941,0.9848526678077781
zzsba.rttm,0.7353004102211104,0.9982605136600841
zztbo.rttm,1.0,1.0
zzyyo.rttm,0.9144106362095118,0.9446060497903097
Average,0.8957251164887631,0.9394619101457924
