File,DER,Miss Duration,Speaker Error Duration,False Alarm Duration
aepyx.rttm,0.08677831955338837,0.08677831955338837,0.0,0.0
aggyz.rttm,0.09494446259392339,0.09494446259392339,0.0,0.0
aiqwk.rttm,0.2216759002770083,0.22166435826408135,0.0,0.0
aorju.rttm,0.19742259822358027,0.19742259822358027,0.0,0.0
auzru.rttm,0.02270891766624871,0.022657197986910814,0.0,0.0
bgvvt.rttm,0.0006270848568019741,0.0005709878089090793,0.0,0.0
bidnq.rttm,0.032976898905374114,0.032976898905374114,0.0,0.0
bjruf.rttm,0.01869224552896961,0.01869224552896961,0.0,0.0
bmsyn.rttm,0.07290015847860354,0.07290015847860354,0.0,0.0
bpzsc.rttm,0.012660339972885895,0.012660339972885895,0.0,0.0
bvqnu.rttm,0.11437710695678772,0.11433113699049903,0.0,0.0
bvyvm.rttm,0.0,0.0,0.0,0.0
bxcfq.rttm,0.001463822668339539,0.001463822668339539,0.0,0.0
byapz.rttm,0.09431657605441503,0.09431657605441503,0.0,0.0
cadba.rttm,0.21843731072077519,0.21817080557238022,0.0,0.0
cawnd.rttm,0.19222304387632877,0.19217374462990292,0.0,0.0
clfcg.rttm,0.15852366161154752,0.15852366161154752,0.0,0.0
cpebh.rttm,0.0,0.0,0.0,0.0
cqfmj.rttm,0.023267628530786347,0.023267628530786347,0.0,0.0
crorm.rttm,0.0101493636510091,0.010078018917861404,0.0,0.0
crylr.rttm,0.20269734232447417,0.20269734232447417,0.0,0.0
cvofp.rttm,0.0883133395986508,0.0883133395986508,0.0,0.0
cwbvu.rttm,0.03828704216000871,0.03828704216000871,0.0,0.0
dgvwu.rttm,0.367104018077817,0.3670362262552056,0.0,0.0
diysk.rttm,0.0767761527153296,0.0767761527153296,0.0,0.0
dkabn.rttm,0.06917873272469978,0.06917873272469978,0.0,0.0
dlast.rttm,0.10069914610219137,0.10064756220005337,0.0,0.0
dohag.rttm,0.0,0.0,0.0,0.0
duvox.rttm,0.010442030873075938,0.010442030873075938,0.0,0.0
dxbbt.rttm,0.11967984934086649,0.11967984934086649,0.0,0.0
dxokr.rttm,0.037737987307343665,0.037737987307343665,0.0,0.0
dzsef.rttm,0.0,0.0,0.0,0.0
dzxut.rttm,0.18164423330694085,0.18164423330694085,0.0,0.0
eauve.rttm,0.022620841307977674,0.022620841307977674,0.0,0.0
eazeq.rttm,0.004852125693160914,0.004852125693160914,0.0,0.0
eddje.rttm,0.0031010783930266765,0.00301726546348533,0.0,0.0
eguui.rttm,0.005357394614408806,0.005357394614408806,0.0,0.0
eoyaz.rttm,0.12243664029828184,0.12243664029828184,0.0,0.0
epygx.rttm,0.041837340312709165,0.04180231370221497,0.0,0.0
eqsta.rttm,0.12696052106139982,0.12696052106139982,0.0,0.0
erslt.rttm,0.11597440844927374,0.11597440844927374,0.0,0.0
eucfa.rttm,0.09114515710205127,0.09114515710205127,0.0,0.0
euqef.rttm,0.0,0.0,0.0,0.0
ezxso.rttm,0.2363210310486232,0.2363210310486232,0.0,0.0
fijfi.rttm,0.01722231401807348,0.01722231401807348,0.0,0.0
fowhl.rttm,0.011935298120713707,0.011935298120713707,0.0,0.0
fpfvy.rttm,0.08522373454318999,0.08522373454318999,0.0,0.0
fqrnu.rttm,0.040335260866740115,0.040283282437788254,0.0,0.0
fuzfh.rttm,0.05948381810733312,0.05899221630479316,0.0,0.0
fvhrk.rttm,0.06115088741627718,0.06115088741627718,0.0,0.0
fxnwf.rttm,0.02990157681435793,0.02990157681435793,0.0,0.0
fyqoe.rttm,0.044439511653717755,0.044439511653717755,0.0,0.0
fzwtp.rttm,0.1754402486109799,0.1754402486109799,0.0,0.0
gcfwp.rttm,0.03854097657924482,0.03854097657924482,0.0,0.0
gcvrb.rttm,0.004027883898840233,0.004027883898840233,0.0,0.0
gfneh.rttm,0.0014532871972318397,0.0014532871972318397,0.0,0.0
gkiki.rttm,0.0,0.0,0.0,0.0
gmmwm.rttm,0.0021429099238897383,0.0021429099238897383,0.0,0.0
gtjow.rttm,0.4245453587979216,0.42449620839769686,0.0,0.0
gtnjb.rttm,0.11364411985529962,0.1136304689099716,0.0,0.0
gukoa.rttm,0.29451908532787596,0.29410979624521727,0.0,0.0
guvqf.rttm,0.09956493921944955,0.09956493921944955,0.0,0.0
gwloo.rttm,0.0,0.0,0.0,0.0
gylzn.rttm,0.0,0.0,0.0,0.0
gyomp.rttm,0.0,0.0,0.0,0.0
gzhwb.rttm,0.11061957838024787,0.11061957838024787,0.0,0.0
hcyak.rttm,0.050364434004628755,0.050364434004628755,0.0,0.0
heolf.rttm,0.2770855835240273,0.27703432494279157,0.0,0.0
hhepf.rttm,0.06784502866913823,0.0678394528237008,0.0,0.0
hqhrb.rttm,0.1437784522003033,0.1437784522003033,0.0,0.0
iabca.rttm,0.01940148911798404,0.01940148911798404,0.0,0.0
iacod.rttm,0.00639192770960981,0.006334619359987901,0.0,0.0
ibrnm.rttm,0.2009891320903478,0.2009891320903478,0.0,0.0
ifwki.rttm,0.005702979515828439,0.005702979515828439,0.0,0.0
iiprr.rttm,0.16060544531610374,0.1605906783571745,0.0,0.0
ikhje.rttm,0.060636451301831554,0.060636451301831554,0.0,0.0
iowob.rttm,0.17637799505748314,0.17635471508900058,0.0,0.0
isrps.rttm,0.0024054982817868662,0.0024054982817868662,0.0,0.0
isxwc.rttm,0.19174576970697474,0.19174576970697474,0.0,0.0
jbowg.rttm,0.29194888686759857,0.29194888686759857,0.0,0.0
jdrwl.rttm,0.22203767929033272,0.22201502291779218,0.0,0.0
jeymh.rttm,0.7344913151364764,0.7344913151364764,0.0,0.0
jgiyq.rttm,0.10334360568958947,0.10334360568958947,0.0,0.0
jjkrt.rttm,0.01622072223315669,0.01622072223315669,0.0,0.0
jjvkx.rttm,0.0,0.0,0.0,0.0
jrfaz.rttm,0.1534244261341237,0.15340941083729018,0.0,0.0
jsbdo.rttm,0.01897728206955109,0.01897728206955109,0.0,0.0
jsymf.rttm,0.029869376224939573,0.029869376224939573,0.0,0.0
jttar.rttm,0.03045875750456816,0.03045875750456816,0.0,0.0
jwggf.rttm,0.017842208489064332,0.01783665766199102,0.0,0.0
jxpom.rttm,0.44864996351252606,0.44864996351252606,0.0,0.0
jxydp.rttm,0.0007906976744185795,0.0,0.0,0.0
jzkzt.rttm,0.13308647921809355,0.13303028478535622,0.0,0.0
kajfh.rttm,0.6127431392516016,0.6127431392516016,0.0,0.0
kgjaa.rttm,0.1930179310592515,0.19296764866976046,0.0,0.0
kmjvh.rttm,0.091731089682301,0.091731089682301,0.0,0.0
kmunk.rttm,0.0023714562897488673,0.0023714562897488673,0.0,0.0
kpjud.rttm,0.1649786358601043,0.1649786358601043,0.0,0.0
ktvto.rttm,0.08794788273615597,0.08794788273615597,0.0,0.0
kvkje.rttm,0.014894112713463324,0.014828879621647965,0.0,0.0
kzmyi.rttm,0.0031648060965817726,0.0031648060965817726,0.0,0.0
laoyl.rttm,0.00048382894785810977,0.00048382894785810977,0.0,0.0
lbfnx.rttm,0.6911670195070314,0.691119764101013,0.0,0.0
ledhe.rttm,0.002178128403325629,0.002178128403325629,0.0,0.0
leneg.rttm,0.005743192977235551,0.005743192977235551,0.0,0.0
lhuly.rttm,0.15041522830866905,0.1504098762789117,0.0,0.0
lilfy.rttm,0.2313286390395936,0.2313286390395936,0.0,0.0
ljpes.rttm,0.0,0.0,0.0,0.0
lkikz.rttm,0.0015432238035500956,0.0015432238035500956,0.0,0.0
lpola.rttm,0.10136318327541108,0.10136318327541108,0.0,0.0
lscfc.rttm,0.043219118104006915,0.043219118104006915,0.0,0.0
ltgmz.rttm,0.07248447204968916,0.07248447204968916,0.0,0.0
lubpm.rttm,0.0,0.0,0.0,0.0
luobn.rttm,0.001287995878413162,0.001287995878413162,0.0,0.0
mbzht.rttm,0.06501113769490965,0.06501113769490965,0.0,0.0
mclsr.rttm,0.14995644104389966,0.14995644104389966,0.0,0.0
mhwyr.rttm,0.0247776229771715,0.0247776229771715,0.0,0.0
