File,DER,Miss Duration,Speaker Error Duration,False Alarm Duration
aepyx.rttm,0.08423432972934776,0.0,0.08423432972934776,0.0
aggyz.rttm,0.09412773603397567,0.0,0.09412773603397567,0.0
aiqwk.rttm,0.22224145891043412,0.0,0.22224145891043412,0.0
aorju.rttm,0.1982010711036485,0.0,0.1982010711036485,0.0
auzru.rttm,0.02305504167412611,5.967655308223971e-05,0.02299536512104387,0.0
bgvvt.rttm,0.0002804852394638475,6.0103979885146775e-05,0.0002203812595787007,0.0
bidnq.rttm,0.03503723569562295,0.0,0.03503723569562295,0.0
bjruf.rttm,0.016865183935912374,0.0,0.016865183935912374,0.0
bmsyn.rttm,0.08141838351822378,0.0,0.08141838351822378,0.0
bpzsc.rttm,0.013056627385545373,0.0,0.013056627385545373,0.0
bvqnu.rttm,0.11448437021146142,3.830830524054132e-05,0.11444606190622088,0.0
bvyvm.rttm,0.0,0.0,0.0,0.0
bxcfq.rttm,0.0018820577164364864,0.0,0.0018820577164364864,0.0
byapz.rttm,0.19605776830407357,0.0,0.19605776830407357,0.0
cadba.rttm,0.030526953361598795,0.0002422774076316902,0.030284675953967104,0.0
cawnd.rttm,0.3631593774209446,5.282062117045706e-05,0.36310655679977416,0.0
clfcg.rttm,0.15965649552347883,0.0,0.15965649552347883,0.0
cpebh.rttm,0.0,0.0,0.0,0.0
cqfmj.rttm,0.023267628530786347,0.0,0.023267628530786347,0.0
crorm.rttm,0.0101493636510091,6.904329014285683e-05,0.010080320360866243,0.0
crylr.rttm,0.20930847547269588,0.0,0.20930847547269588,0.0
cvofp.rttm,0.30571065288296745,0.0,0.30571065288296745,0.0
cwbvu.rttm,0.08697576629412392,0.0,0.08697576629412392,0.0
dgvwu.rttm,0.366965609773319,7.06164818868084e-05,0.36689499329143216,0.0
diysk.rttm,0.07959825308767568,0.0,0.07959825308767568,0.0
dkabn.rttm,0.11504913647729266,0.0,0.11504913647729266,0.0
dlast.rttm,0.09854367590571159,5.526846657634456e-05,0.09848840743913524,0.0
dohag.rttm,0.0,0.0,0.0,0.0
duvox.rttm,0.010068292240959224,0.0,0.010068292240959224,0.0
dxbbt.rttm,0.11946013810420603,0.0,0.11946013810420603,0.0
dxokr.rttm,0.03773798730734359,0.0,0.03773798730734359,0.0
dzsef.rttm,0.0,0.0,0.0,0.0
dzxut.rttm,0.07713116917392443,0.0,0.07713116917392443,0.0
eauve.rttm,0.021541719265382484,0.0,0.021541719265382484,0.0
eazeq.rttm,0.07081792975970444,0.0,0.07081792975970444,0.0
eddje.rttm,0.003883332402078703,8.381292954134651e-05,0.0037995194725373564,0.0
eguui.rttm,0.005357394614408806,0.0,0.005357394614408806,0.0
eoyaz.rttm,0.12556053811659176,0.0,0.12556053811659176,0.0
epygx.rttm,0.045836211677482426,3.8918456104810925e-05,0.045797293221377613,0.0
eqsta.rttm,0.12512909488990714,0.0,0.12512909488990714,0.0
erslt.rttm,0.11597440844927381,0.0,0.11597440844927381,0.0
eucfa.rttm,0.10750454427421449,0.0,0.10750454427421449,0.0
euqef.rttm,0.0,0.0,0.0,0.0
ezxso.rttm,0.23632103104862326,0.0,0.23632103104862326,0.0
fijfi.rttm,0.01717147323868441,0.0,0.01717147323868441,0.0
fowhl.rttm,0.01188295032193884,0.0,0.01188295032193884,0.0
fpfvy.rttm,0.09216261898407596,0.0,0.09216261898407596,0.0
fqrnu.rttm,0.040348255473978176,6.497303618992207e-05,0.040283282437788254,0.0
fuzfh.rttm,0.05940188447357666,0.00040966816878349507,0.05899221630479316,0.0
fvhrk.rttm,0.06150620924902709,0.0,0.06150620924902709,0.0
fxnwf.rttm,0.04958621394271692,0.0,0.04958621394271692,0.0
fyqoe.rttm,0.04479467258601514,0.0,0.04479467258601514,0.0
fzwtp.rttm,0.16329221207269984,0.0,0.16329221207269984,0.0
gcfwp.rttm,0.03854097657924482,0.0,0.03854097657924482,0.0
gcvrb.rttm,0.004358038316778027,0.0,0.004358038316778027,0.0
gfneh.rttm,0.0026989619377162668,0.0,0.0026989619377162668,0.0
gkiki.rttm,9.689922480625111e-05,0.0,9.689922480625111e-05,0.0
gmmwm.rttm,0.0022906968151924505,0.0,0.0022906968151924505,0.0
gtjow.rttm,0.0061262463137194785,5.266114309783164e-05,0.006073585170621646,0.0
gtnjb.rttm,0.11393420244351904,1.706368165974545e-05,0.1139171387618593,0.0
gukoa.rttm,0.2896165139247263,0.000400391493905167,0.2892161224308212,0.0
guvqf.rttm,0.10110044785668498,0.0,0.10110044785668498,0.0
gwloo.rttm,0.021916166104212532,0.0,0.021916166104212532,0.0
gylzn.rttm,0.0,0.0,0.0,0.0
gyomp.rttm,0.0,0.0,0.0,0.0
gzhwb.rttm,0.11683513333168535,0.0,0.11683513333168535,0.0
hcyak.rttm,0.049086324225361834,0.0,0.049086324225361834,0.0
heolf.rttm,0.2765675057208235,5.4919908466769294e-05,0.2765125858123567,0.0
hhepf.rttm,0.18565706691943823,9.293075729265668e-06,0.18564777384370895,0.0
hqhrb.rttm,0.14362281623283124,0.0,0.14362281623283124,0.0
iabca.rttm,0.015893470790378124,0.0,0.015893470790378124,0.0
iacod.rttm,0.008882794191388795,6.140180316623052e-05,0.008821392388222564,0.0
ibrnm.rttm,0.20223450673308674,0.0,0.20223450673308674,0.0
ifwki.rttm,0.004830074487895508,0.0,0.004830074487895508,0.0
iiprr.rttm,0.2027872634979234,1.8458698661727554e-05,0.20276880479926165,0.0
ikhje.rttm,0.059993571198970634,0.0,0.059993571198970634,0.0
iowob.rttm,0.17678449912252406,2.6861502095172756e-05,0.1767576376204289,0.0
isrps.rttm,0.002336769759450098,0.0,0.002336769759450098,0.0
isxwc.rttm,0.19174576970697474,0.0,0.19174576970697474,0.0
jbowg.rttm,0.21635655560363454,0.0,0.21635655560363454,0.0
jdrwl.rttm,0.07439132783771037,2.614196831591065e-05,0.07436518586939446,0.0
jeymh.rttm,0.7344913151364764,0.0,0.7344913151364764,0.0
jgiyq.rttm,0.10047474943779666,0.0,0.10047474943779666,0.0
jjkrt.rttm,0.07713237081890888,0.0,0.07713237081890888,0.0
jjvkx.rttm,0.0,0.0,0.0,0.0
jrfaz.rttm,0.15538955310722777,1.8769121042044558e-05,0.15537078398618573,0.0
jsbdo.rttm,0.020333780932283836,0.0,0.020333780932283836,0.0
jsymf.rttm,0.03007741073677041,0.0,0.03007741073677041,0.0
jttar.rttm,0.03045875750456817,0.0,0.03045875750456817,0.0
jwggf.rttm,0.018604522073788723,9.251378455591798e-06,0.018595270695333132,0.0
jxpom.rttm,0.4542447093164667,0.0,0.4542447093164667,0.0
jxydp.rttm,0.0008139534883720137,0.0008139534883720137,0.0,0.0
jzkzt.rttm,0.1337728540750983,6.020832078987875e-05,0.13371264575430844,0.0
kajfh.rttm,0.6127431392516016,0.0,0.6127431392516016,0.0
kgjaa.rttm,0.19241992978423442,5.387398874049156e-05,0.19236605579549393,0.0
kmjvh.rttm,0.035566968066216835,0.0,0.035566968066216835,0.0
kmunk.rttm,0.0021019726204592414,0.0,0.0021019726204592414,0.0
kpjud.rttm,0.2600094951732868,0.0,0.2600094951732868,0.0
ktvto.rttm,0.034826156208296384,0.0,0.034826156208296384,0.0
kvkje.rttm,0.014887123453626106,6.98925983737687e-05,0.014817230855252337,0.0
kzmyi.rttm,0.0034482215679172788,0.0,0.0034482215679172788,0.0
laoyl.rttm,0.00048382894785810977,0.0,0.00048382894785810977,0.0
lbfnx.rttm,0.5664600030243457,4.7255406018405556e-05,0.5664127476183274,0.0
ledhe.rttm,0.0016468775732462065,0.0,0.0016468775732462065,0.0
leneg.rttm,0.0045528939145960045,0.0,0.0045528939145960045,0.0
lhuly.rttm,0.15047231662608015,8.920049595467638e-06,0.15046339657648466,0.0
lilfy.rttm,0.23865866328061863,0.0,0.23865866328061863,0.0
ljpes.rttm,0.0,0.0,0.0,0.0
lkikz.rttm,0.00454844910520088,0.0,0.00454844910520088,0.0
lpola.rttm,0.09837280099140593,0.0,0.09837280099140593,0.0
lscfc.rttm,0.047964746758564734,0.0,0.047964746758564734,0.0
ltgmz.rttm,0.06627329192546577,0.0,0.06627329192546577,0.0
lubpm.rttm,0.0,0.0,0.0,0.0
luobn.rttm,0.001803194229778427,0.0,0.001803194229778427,0.0
mbzht.rttm,0.07796386436762653,0.0,0.07796386436762653,0.0
mclsr.rttm,0.14662323396841032,0.0,0.14662323396841032,0.0
mhwyr.rttm,0.025442074804415002,0.0,0.025442074804415002,0.0
mjmgr.rttm,0.10432145564821817,0.0,0.10432145564821817,0.0
mkhie.rttm,0.15225285311990433,2.779012894638369e-05,0.15222506299095792,0.0
mqtep.rttm,0.00022874571101792716,0.0,0.00022874571101792716,0.0
msbyq.rttm,0.02649183837302645,0.0,0.02649183837302645,0.0
mupzb.rttm,0.0035009372587937408,5.5132870217173366e-05,0.0034458043885765674,0.0
mxdpo.rttm,0.016418519273913995,0.0,0.016418519273913995,0.0
mxduo.rttm,0.05292877133509376,0.0,0.05292877133509376,0.0
myjoe.rttm,0.015217775421856504,0.0,0.015217775421856504,0.0
neiye.rttm,0.0,0.0,0.0,0.0
nitgx.rttm,0.46888729361091086,0.0,0.46888729361091086,0.0
nkqzr.rttm,0.060485340504943995,0.0,0.060485340504943995,0.0
nlvdr.rttm,0.08234684601022413,3.910106648133051e-05,0.0823077449437428,0.0
nprxc.rttm,0.04904261469918081,0.0,0.04904261469918081,0.0
nqcpi.rttm,0.15927889713679752,0.0,0.15927889713679752,0.0
nqyqm.rttm,0.05573064722119208,0.0,0.05573064722119208,0.0
ocfop.rttm,0.003560302625722655,0.0,0.003560302625722655,0.0
ofbxh.rttm,0.5318829636621051,5.663048607850192e-05,0.5318263331760266,0.0
olzkb.rttm,0.009273016035657578,0.0,0.009273016035657578,0.0
ooxlj.rttm,0.0005336179295625166,0.0005336179295625166,0.0,0.0
optsn.rttm,0.057629890552270586,0.0,0.057629890552270586,0.0
oqwpd.rttm,0.0009755664937253919,0.0,0.0009755664937253919,0.0
otmpf.rttm,0.021932266576290892,0.0,0.021932266576290892,0.0
oubab.rttm,0.021468974073216913,0.0,0.021468974073216913,0.0
ouvtt.rttm,0.03958473109926185,0.0,0.03958473109926185,0.0
pccww.rttm,0.16814701378254215,0.0,0.16814701378254215,0.0
pgtkk.rttm,0.01771012827876704,0.0,0.01771012827876704,0.0
pkwrt.rttm,0.2582534611288604,0.0,0.2582534611288604,0.0
poucc.rttm,0.046539298800686586,0.0,0.046539298800686586,0.0
ppexo.rttm,0.0,0.0,0.0,0.0
ptses.rttm,0.14732007452662468,0.0,0.14732007452662468,0.0
pwnsw.rttm,0.06154108615297112,0.0,0.06154108615297112,0.0
pxqme.rttm,0.13955869278228297,0.0,0.13955869278228297,0.0
pzxit.rttm,0.00731853207135573,0.0,0.00731853207135573,0.0
qadia.rttm,0.03265518206163312,0.0,0.03265518206163312,0.0
qajyo.rttm,0.12905264949368406,0.0,0.12905264949368406,0.0
qeejz.rttm,0.25658346691092265,0.0,0.25658346691092265,0.0
qlrry.rttm,0.11863953760315409,0.0,0.11863953760315409,0.0
qoarn.rttm,0.2123469128003998,3.771201221865766e-05,0.21230920078818113,0.0
qwepo.rttm,0.003833972328721442,0.0002222592654332415,0.0036117130632882005,0.0
qxana.rttm,0.263893609029281,3.577369560179494e-05,0.2638578353336792,0.0
ralnu.rttm,0.13117338003502607,0.0,0.13117338003502607,0.0
rarij.rttm,0.22980590837733528,5.3517910660516454e-05,0.22975239046667478,0.0
rmvsh.rttm,0.0,0.0,0.0,0.0
rpkso.rttm,0.0049974844876739975,0.00020124098608083948,0.004796243501593158,0.0
rsypp.rttm,0.2048461410358409,4.625946005954015e-05,0.20479988157578136,0.0
rxulz.rttm,0.15882668900157468,0.0,0.15882668900157468,0.0
ryken.rttm,0.31605474728638533,1.7592315676496506e-05,0.31603715497070883,0.0
sbrmv.rttm,0.017660401814646644,0.0,0.017660401814646644,0.0
sebyw.rttm,0.42586351427642716,5.132328537472227e-05,0.4258121909910524,0.0
sexgc.rttm,0.01920512893251172,0.0,0.01920512893251172,0.0
sfdvy.rttm,0.0,0.0,0.0,0.0
svxzm.rttm,0.0,0.0,0.0,0.0
swbnm.rttm,0.17447734871587606,0.0,0.17447734871587606,0.0
sxqvt.rttm,0.021928082947275513,0.0,0.021928082947275513,0.0
tbjqx.rttm,0.03507294744415956,0.0,0.03507294744415956,0.0
thnuq.rttm,0.024306919886487352,4.365858982750889e-05,0.024263261296659844,0.0
tiido.rttm,0.022006141248720613,0.0,0.022006141248720613,0.0
tkhgs.rttm,0.0006609658363283794,0.0,0.0006609658363283794,0.0
tkybe.rttm,0.16829389523014934,0.0,0.16829389523014934,0.0
tnjoh.rttm,0.026734393797620597,0.00026734393797615326,0.026467049859644442,0.0
tpnyf.rttm,0.1844090764062235,0.0,0.1844090764062235,0.0
tpslg.rttm,0.0013914426278386568,0.0,0.0013914426278386568,0.0
tvtoe.rttm,8.634832915979313e-05,0.0,8.634832915979313e-05,0.0
uedkc.rttm,0.2212884903107889,0.0,0.2212884903107889,0.0
uevxo.rttm,0.028812177222071154,0.0,0.028812177222071154,0.0
uhfrw.rttm,0.03143955239489546,0.0,0.03143955239489546,0.0
uicid.rttm,2.2153791621415862e-05,2.2153791621415862e-05,0.0,0.0
upshw.rttm,0.0,0.0,0.0,0.0
uqxlg.rttm,0.22253756867881938,0.0,0.22253756867881938,0.0
usqam.rttm,0.11157270029673519,0.0,0.11157270029673519,0.0
utial.rttm,0.08967829472607815,0.0,0.08967829472607815,0.0
vdlvr.rttm,0.0008143465088176407,1.7512828146601477e-05,0.0007968336806710391,0.0
vgaez.rttm,0.037731534415732515,0.0,0.037731534415732515,0.0
vgevv.rttm,0.17183666212291773,0.0,0.17183666212291773,0.0
vncid.rttm,0.2753007978674815,0.0,0.2753007978674815,0.0
vtzqw.rttm,0.13015338419087794,0.0,0.13015338419087794,0.0
vuewy.rttm,0.0026657319694130942,0.0,0.0026657319694130942,0.0
vylyk.rttm,0.4477496406059938,0.0,0.4477496406059938,0.0
vzuru.rttm,0.293791106015808,0.0,0.293791106015808,0.0
wcxfk.rttm,0.009692372524230879,0.0,0.009692372524230879,0.0
wdvva.rttm,0.0048076923076923175,0.0,0.0048076923076923175,0.0
wemos.rttm,0.05709227467811056,1.0729613733895836e-05,0.05708154506437666,0.0
wibky.rttm,0.2297477868715549,0.0,0.2297477868715549,0.0
wlfsf.rttm,0.04147800440327312,0.0,0.04147800440327312,0.0
wprog.rttm,0.12751742139418878,3.592040039269723e-05,0.1274815009937961,0.0
wwvcs.rttm,0.00817025900347838,0.0,0.00817025900347838,0.0
wwzsk.rttm,0.0028719779328246174,0.0,0.0028719779328246174,0.0
xffsa.rttm,0.01172689554356439,0.0,0.01172689554356439,0.0
xggbk.rttm,0.18008756225960226,0.0,0.18008756225960226,0.0
xkgos.rttm,0.006892844721281827,0.0,0.006892844721281827,0.0
xkmqx.rttm,0.05577054404734812,0.0,0.05577054404734812,0.0
xlsme.rttm,0.034548211828744374,2.008616966785696e-05,0.034528125659076515,0.0
xlyov.rttm,0.0,0.0,0.0,0.0
xmyyy.rttm,0.12873165099785566,0.00020616856341749718,0.12852548243443818,0.0
xqxkt.rttm,0.12660458542432576,5.367254381016511e-05,0.1265509128805156,0.0
xtdcl.rttm,0.0,0.0,0.0,0.0
xtzoq.rttm,0.13277979825705097,0.0,0.13277979825705097,0.0
xvxwv.rttm,0.0007907817442385933,0.0,0.0007907817442385933,0.0
ybhwz.rttm,0.02291227635221671,4.132060658634967e-05,0.022870955745630358,0.0
ygrip.rttm,0.0769850571344858,0.00014649868151194134,0.07683855845297385,0.0
ylgug.rttm,0.007985212569316112,0.0,0.007985212569316112,0.0
ylzez.rttm,0.0005587462101437283,3.6639095747291896e-05,0.0005221071143964364,0.0
ytmef.rttm,0.022435698791447193,0.0,0.022435698791447193,0.0
ytula.rttm,0.010500986669888395,5.034030043109611e-05,0.010450646369457299,0.0
yukhy.rttm,0.020698702686944175,0.0,0.020698702686944175,0.0
yzvon.rttm,0.006894092475930159,0.0,0.006894092475930159,0.0
zedtj.rttm,0.14591385461572756,2.7872751598223678e-05,0.14588598186412935,0.0
zehzu.rttm,0.03688964689533193,0.0,0.03688964689533193,0.0
zfzlc.rttm,0.00429031423652922,5.3517433303850085e-05,0.004236796803225369,0.0
zowse.rttm,0.01631149443069242,1.9337871287111146e-05,0.016292156559405305,0.0
zqidv.rttm,0.011989116675638681,0.0,0.011989116675638681,0.0
zsgto.rttm,0.10212643784614805,3.7045955507773756e-05,0.10208939189064029,0.0
zzsba.rttm,0.2641730853412061,0.0,0.2641730853412061,0.0
zztbo.rttm,0.0,0.0,0.0,0.0
zzyyo.rttm,0.04499078653864774,0.0,0.04499078653864774,0.0
Average,0.09228275859924194,1.7638644152699452e-05,0.11434478904475531,0.0
