File,Purity,Coverage
aepyx.rttm,0.9731123913565238,0.8474996945722236
aggyz.rttm,0.9269290589712733,0.8991795095448023
aiqwk.rttm,0.9730544574857833,0.8562003251478262
aorju.rttm,0.6449621558778379,0.9516348243430571
auzru.rttm,0.980902542833705,0.9597642196286313
bgvvt.rttm,0.9863135675398356,0.9640834028475059
bidnq.rttm,0.7703493690379903,0.692167997856228
bjruf.rttm,0.8374475270397688,0.4723650040570653
bmsyn.rttm,0.7798503218859444,0.5513697739742146
bpzsc.rttm,0.9272664986011746,0.926652322615492
bvqnu.rttm,0.9465966034988237,0.8200585828690602
bvyvm.rttm,1.0,0.8913931865246331
bxcfq.rttm,0.9674772269159769,0.9445851485443448
byapz.rttm,0.932486776483316,0.9164327655390123
cadba.rttm,0.8417430137775403,0.7961032625619304
cawnd.rttm,0.9603084726673445,0.8944245257554628
clfcg.rttm,0.9590713236375846,0.702964773308856
cpebh.rttm,1.0,0.9808814978348317
cqfmj.rttm,0.950062333379239,0.9878189812206035
crorm.rttm,0.997556895426492,0.9339910605174925
crylr.rttm,0.9197786138106386,0.6312992079753745
cvofp.rttm,0.7206450617890297,0.9794898825184295
cwbvu.rttm,0.7713676777488726,0.8850679636196698
dgvwu.rttm,0.8260163443118669,0.8329963575990362
diysk.rttm,0.7829373276480253,0.6701935084368505
dkabn.rttm,0.8662468458015647,0.8262471473345976
dlast.rttm,0.9661696199114467,0.895411665840991
dohag.rttm,1.0,0.8934721544268444
duvox.rttm,0.973357622822404,0.9246578912212579
dxbbt.rttm,0.9779192271430481,0.9194923730671022
dxokr.rttm,0.9978537227753356,0.9361505521489794
dzsef.rttm,1.0,0.9692440332263706
dzxut.rttm,0.772601390432828,0.9544059683094896
eauve.rttm,0.8522867569639948,0.8083204558991738
eazeq.rttm,0.9163095828935317,0.8551801030358527
eddje.rttm,0.8100021137822075,0.6943312683966917
eguui.rttm,0.7652460252915142,0.5636092011860725
eoyaz.rttm,0.6738798197903104,0.8663686094675537
epygx.rttm,0.8635689515913134,0.9049157413438317
eqsta.rttm,0.7710222070773335,0.756748075600987
erslt.rttm,0.8813047934161251,0.8283037295387222
eucfa.rttm,0.8523548290329607,0.9397890290157015
euqef.rttm,1.0,0.9506438251035544
ezxso.rttm,0.9889604222428269,0.9392307682682214
fijfi.rttm,0.940124152633296,0.9333293495069592
fowhl.rttm,0.9308926195173041,0.8480672533220747
fpfvy.rttm,0.9450884406125526,0.9353179186777223
fqrnu.rttm,0.9370957266384203,0.6258812319432198
fuzfh.rttm,0.8942124094191165,0.9762889883180778
fvhrk.rttm,1.0,0.9829914121885394
fxnwf.rttm,0.866480892187484,0.775239055722552
fyqoe.rttm,0.6484151203965877,0.5859383967583832
fzwtp.rttm,0.8886071033077082,0.7913380089553675
gcfwp.rttm,0.9598913538995191,0.6980142671227128
gcvrb.rttm,0.9502372813781271,0.8884817112391123
gfneh.rttm,0.92991408782974,0.9016551654534671
gkiki.rttm,0.9705274747211998,0.8717388608433425
gmmwm.rttm,0.976457320974905,0.9654625314624934
gtjow.rttm,0.9879293479829749,0.8991975379446383
gtnjb.rttm,0.9696579187424881,0.8978078566369375
gukoa.rttm,0.8883111786537536,0.7111213339072303
guvqf.rttm,0.810224505237934,0.7379496922511222
gwloo.rttm,1.0,0.9702355682430647
gylzn.rttm,0.9947608784062435,0.9268654513037323
gyomp.rttm,1.0,0.9409192145721799
gzhwb.rttm,0.9410676693668669,0.7719771057319049
hcyak.rttm,0.9670639664255182,0.9443170135546792
heolf.rttm,0.8957590933898361,0.9309470317155961
hhepf.rttm,0.9684367336925555,0.8728986158365292
hqhrb.rttm,0.9502467112932936,0.7924532751433817
iabca.rttm,0.8261920817146514,0.7043935535472955
iacod.rttm,0.9645963621594423,0.9033192476407172
ibrnm.rttm,0.9170581617784884,0.9706841095187408
ifwki.rttm,0.9447572072295773,0.8432773908456223
iiprr.rttm,0.916037894474856,0.9414869254800844
ikhje.rttm,0.902535231789808,0.8899727410209692
iowob.rttm,0.9219413822003029,0.9397681328599513
isrps.rttm,0.8455903587567364,0.7849054341703748
isxwc.rttm,0.9720935897429308,0.9463830819411305
jbowg.rttm,0.8745081963287616,0.9184186731384295
jdrwl.rttm,0.9549531701553675,0.9251482524972949
jeymh.rttm,0.8493642417694257,0.9589152151038967
jgiyq.rttm,0.9892105855689817,0.9032014631290145
jjkrt.rttm,0.8824141771235681,0.7883501623918765
jjvkx.rttm,0.9979974263110875,0.919204446770666
jrfaz.rttm,0.9014508627983653,0.7802024761774816
jsbdo.rttm,0.8826779370854801,0.7920342788512417
jsymf.rttm,0.9421521528043011,0.9021331963131805
jttar.rttm,0.9954374703071142,0.9694976588838724
jwggf.rttm,0.9659853423113479,0.9332325557660738
jxpom.rttm,0.6711325790922221,0.7540998050007354
jxydp.rttm,1.0,0.8871400891963005
jzkzt.rttm,0.7831473359340516,0.7833026054010694
kajfh.rttm,0.6471125587051908,0.9613928182348882
kgjaa.rttm,0.856384324935306,0.8793976543218422
kmjvh.rttm,0.9959781130094542,0.7089547095263687
