File,DER,Miss Duration,Speaker Error Duration,False Alarm Duration
aepyx.rttm,0.6669113490212708,0.029377340823970165,0.6016986432054271,0.03583536499187352
aggyz.rttm,0.6765596925024501,0.039790407546553316,0.620592484073832,0.016176800882064732
aiqwk.rttm,0.38707510964912306,0.03674940847183757,0.32078355840258543,0.029542142774700037
aorju.rttm,0.3382015635111942,0.0215805227023327,0.25521125456063115,0.06140978624823036
auzru.rttm,0.04177346283145304,0.0009550735016212385,0.025792206242167288,0.015026183087664518
bgvvt.rttm,0.12175576246907133,0.014916179991384955,0.00890039768800031,0.09793918478968604
bidnq.rttm,0.2314076186420202,0.017192733571979844,0.18865836393144572,0.025556521138594628
bjruf.rttm,0.1819922437721799,0.07016597273461973,0.059244448543621486,0.05258182249393871
bmsyn.rttm,0.3206807151347083,0.031116902733756363,0.1194359152139471,0.17012789718700488
bpzsc.rttm,0.06603184638648453,0.003764860777974647,0.02446866200855118,0.03779832359995871
bvqnu.rttm,0.16922334699662883,0.050583004520380115,0.10955445046736137,0.00908589200888735
bvyvm.rttm,0.2780275294788894,0.11546334157474338,0.15096638455686573,0.01159780334728034
bxcfq.rttm,0.03837829360100369,0.030819021852781157,0.006775407779171874,0.0007838639690506627
byapz.rttm,0.3733327545326088,0.016430705578042448,0.3006776459176586,0.056224403036907664
cadba.rttm,0.32211652029073257,0.07487318291944244,0.23670654149000614,0.010536795881284021
cawnd.rttm,0.31399740958870304,0.033776586379322016,0.24999081141277607,0.030230011796604908
clfcg.rttm,0.24579435410195463,0.10949844692124974,0.11685752786405981,0.019438379316645108
cpebh.rttm,0.02003337013247734,0.01927081724979183,0.0,0.0007625528826855119
cqfmj.rttm,0.8354799583418003,0.04723442897784974,0.7840816145092462,0.004163914854704339
crorm.rttm,0.12575329106349692,0.11576747370601383,0.009571557616625643,0.0004142597408574409
crylr.rttm,0.4093299616554275,0.027357282163162654,0.2698660419145842,0.11210663757768065
cvofp.rttm,0.24631117898538765,0.01030287743932781,0.1655831352387271,0.07042516630733273
cwbvu.rttm,0.32825536682527395,0.032386300763527866,0.2813302257386299,0.01453884032311616
dgvwu.rttm,0.4238997069416,0.03633262128380793,0.3616152637525595,0.025951821905232545
diysk.rttm,0.29294723047868476,0.034003492751601194,0.19456765797860287,0.06437607974848068
dkabn.rttm,0.307982618092303,0.09458081351398548,0.19753766403054765,0.015864140547769846
dlast.rttm,0.09482543224546658,0.07836492847339335,0.014689206989619103,0.001771296782454132
dohag.rttm,0.8229729303382128,0.11935733215547685,0.703112380111055,0.0005032180716809733
duvox.rttm,0.10345106572137158,0.0071062012299396154,0.04206024836630918,0.05428461612512279
dxbbt.rttm,0.17729137241054566,0.046852146107971865,0.12016115426867542,0.01027807203389839
dxokr.rttm,0.18534926053943826,0.07254433930190411,0.10743356187670004,0.005371359360834137
